Ursula K. Le Guin
Zofia Nałkowska
John S. Lewis
Michael Lewis
Roland Barthes
James Morrow
Patrick Süskind
Greg Egan
Gentry Lee
Arthur C. Clarke
Lincoln Child
Douglas Preston
David Brin
Karen Wynn Fonstad
Michael Moorcock
Alan Dershowitz
Richard Wagner
Robert Zubrin
Arthur C. Clarke
Boris Akunin
Ernest Hemingway
Stephen King
Harry Mulisch
David Eddings
David Eddings
David Eddings
Roger Penrose
Carolyn Keene
C. S. Lewis
Leo Tolstoy
Mahathir bin Mohamad
Marion Zimmer Bradley
Oscar Zeta Acosta
Isaac Asimov
Iris Murdoch
Carolyn Keene
C. S. Lewis
Barry Hughart
Philip Pullman
David Eddings
David Eddings
David Eddings
John Taylor Gatto
C. S. Lewis
Michael Moorcock
Alice Randall
Chinua Achebe
Carl Hiaasen
Arthur C. Clarke
Arthur C. Clarke
Kenzaburo Oë
Susan Sontag
Philip Roth
Stephen Baxter
Communist Party of Britain
James A. Michener
John Wyndham
Sigmund Freud
Wil Wheaton
Skip Williams
James Wyatt
Rich Redman
Skip Williams
James Wyatt
Rich Redman
David Graham
Monte Cook
Jonathan Tweet
Buzz Aldrin
John Barnes
James Wyatt
Erik Mona
James Jacobs
Jesse Decker
Chris Thomasson
Eric Cagle
Matt Sernett
James Wyatt
Erik Mona
James Jacobs
Jesse Decker
Chris Thomasson
Eric Cagle
Matt Sernett
Orson Scott Card
Gregory Benford
David Brin
Greg Bear
Noam Chomsky
Johnny Lee Wilson
Rusel DeMaria
Natsume Sōseki
Susan Sontag
Roger MacBride Allen
Roger MacBride Allen
Max Barry
Chris Van Allsburg
Gene Brewer
Randal L. Schwartz
Brian d foy
Jasper Fforde
John Gray
Walter Jon Williams
Dennis Lehane
Dalton Trumbo
Nevil Shute
Gary Gygax
Monte Cook
Jonathan Tweet
Skip Williams
James Wyatt
Rob Heinsoo
Andy Collins
David %22Zeb%22 Cook
Gary Gygax
Monte Cook
Jonathan Tweet
Skip Williams
James Wyatt
Rob Heinsoo
Andy Collins
David %22Zeb%22 Cook
Gary Gygax
Monte Cook
Jonathan Tweet
Skip Williams
James Wyatt
Rob Heinsoo
Andy Collins
David %22Zeb%22 Cook
Gary Gygax
Monte Cook
Jonathan Tweet
Skip Williams
James Wyatt
Rob Heinsoo
Andy Collins
David %22Zeb%22 Cook
Larry Wall
Brian d foy
Tom Christiansen
Gentry Lee
Arthur C. Clarke
Robert Kiyosaki
Sharon Lechter
Isaac Asimov
Ann Granger
Robert Anton Wilson
Orson Scott Card
Thomas Pynchon
Elmore Leonard
Michael Barone
Richard E. Cohen
Charlie Cook
Gabriel García Márquez
Isaac Asimov
Jasper Fforde
Mario Vargas Llosa
Doris Lessing
Susan Cooper
Clive Barker
Michel Foucault
Douglas Adams
Brian Jacques
Yasunari Kawabata
Edward Abbey
Gaston Leroux
Isaac Asimov
Robert Silverberg
Stendhal
Rodney Stark
Anton LaVey
Salman Rushdie
Michael Okuda
Denise Okuda
Ira Levin
Will Durant
Ariel Durant
Frantz Fanon
Joyce Carol Oates
Alexander Shulgin
Ann Shulgin
Guy Gavriel Kay
Haruki Murakami
Jacqueline Susann
James H. Austin
Gore Vidal
Thomas M. Disch
Bill Bryson
George H. W. Bush
Brent Scowcroft
Umberto Eco
David Brooks
Dee Brown
Pablo Neruda
James Michener
Cory Doctorow
Stephen King
Jerry Pournelle
Larry Niven
Lawrence Lessig
Matt Ridley
Douglas Thomas
Terry Pratchett
Jerry Smath
Joanne Greenberg
Matthew Reilly
Paul Auster
Larry Niven
Terry Pratchett
Chuck Palahniuk
Aldous Huxley
Susanne Bösche
Barbara Strachey
Lois Duncan
Lemony Snicket
Philip Pullman
Terry Pratchett
Terry Pratchett
Agatha Christie
Judith Hooper
Konrad Lorenz
Margaret Atwood
The Onion
Scott Dikkers
Stephen King
Peter Singer
Stephen King
Terry Pratchett
Russell Hoban
Patricia Highsmith
Richard Dawkins
Astrid Lindgren
Garth Nix
John Gribbin
Garth Nix
Doris Lessing
Laurie Halse Anderson
Matthew Reilly
Dmitri Shostakovich
Philip Pullman
Eric S. Raymond
Jim Carroll
Tom Wolfe
J. R. R. Tolkien
Franz Kafka
